0.00,0.34,2.42,1.06,1.09,0.33,0.32,0.31,1.85,-1.04,1.86
0.34,0.43,1.42,2.02,0.74,-0.34,0.45,1.27,0.68,-0.20,0.37
0.69,2.09,-1.15,1.12,1.51,-0.58,1.51,1.31,-0.67,0.78,-0.95
1.03,1.88,-1.83,0.36,2.60,-0.30,1.97,1.16,-1.72,1.27,-0.99
1.38,0.42,-1.38,0.24,2.04,-2.14,1.50,0.39,-1.46,1.47,-1.76
1.72,1.60,-1.27,1.40,1.39,-2.08,1.54,-0.52,-2.00,0.73,-1.72
2.07,0.08,-1.93,1.15,-0.81,-2.19,-0.30,-0.99,-0.97,1.17,-0.70
2.41,0.39,-2.69,-1.19,-0.49,-0.66,-0.40,-0.26,-2.26,1.26,-2.43
2.76,-0.22,-0.84,-0.82,-2.68,-0.98,-1.78,-0.84,-0.45,1.65,-0.88
3.10,-2.50,0.42,-1.09,-1.54,0.80,-1.19,-1.68,-0.02,-1.27,-0.78
3.45,-3.02,1.30,-2.37,-1.47,1.95,-1.50,-1.90,1.13,-2.02,0.02
3.79,-2.06,0.81,-0.71,-0.28,1.73,-0.11,-0.59,0.63,-0.88,1.04
4.14,-0.26,2.65,-1.22,-1.33,1.68,-0.96,-0.06,2.23,-2.74,1.63
4.48,-0.27,1.27,-1.17,-0.31,3.10,-0.64,0.41,1.87,-2.01,2.30
4.83,1.52,0.95,0.15,0.44,1.17,-0.30,1.06,1.24,-2.12,0.91
5.17,1.73,0.71,-0.33,1.60,1.94,0.66,1.58,1.33,-1.66,1.49
5.52,1.02,0.86,1.26,2.24,-0.87,2.18,0.80,-0.18,-1.05,0.51
5.86,1.94,-1.60,1.35,1.27,-0.77,0.79,1.98,-0.80,1.65,-1.00
6.21,1.49,-2.19,2.60,1.99,-2.03,1.31,2.10,-1.28,1.95,-1.61
6.55,0.51,-1.06,2.58,0.46,-2.30,0.17,1.49,-0.64,3.03,-0.80
6.90,0.97,-2.86,-0.19,0.46,-1.52,-0.62,-0.58,-1.59,0.88,-2.31
7.24,-0.34,-1.00,0.20,-1.38,-1.35,-0.87,-1.06,-0.65,1.66,-0.57
7.59,-0.72,-0.94,-1.42,-1.51,-1.38,-1.19,-0.66,-0.89,1.61,-0.86
7.93,-0.81,-0.65,-1.02,-1.59,-0.99,-0.72,-2.07,-1.26,0.51,-1.22
8.28,-0.60,1.27,-0.01,-2.25,-0.54,-0.97,-1.48,1.05,0.58,1.00
8.62,-1.77,0.69,-0.36,-1.93,0.76,-1.43,-0.33,1.04,-0.68,0.01
8.97,-1.12,2.52,-2.08,-0.75,2.74,-0.46,-0.49,1.71,-2.33,1.13
9.31,-0.34,2.72,-0.21,0.73,1.81,0.11,0.29,2.08,-1.81,2.34
9.66,0.57,1.74,-0.83,-0.02,1.88,-0.36,0.16,1.74,-2.40,1.84
10.00,-0.18,0.38,1.18,1.16,0.36,0.86,1.54,0.43,-0.60,0.26
